,Name,Yrs_College,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS
0,Patrick Ewing,4,Georgetown,Big East,37,30.6,5.9,9.5,.625,,,,,,,2.8,4.3,.638,9.2,1.3,1.1,3.6,2.2,2.9,14.6,5.77
0,Wayman Tisdale,3,Oklahoma,Big 8,37,34.7,10.0,17.3,.578,,,,,,,5.2,7.4,.703,10.2,1.3,0.9,1.4,2.0,3.0,25.2,5.61
0,Benoit Benjamin,3,Creighton,MVC,32,37.3,8.1,13.8,.582,,,,,,,5.4,7.3,.738,14.1,2.1,0.8,5.1,2.8,3.1,21.5,5.36
0,Xavier McDaniel,4,Wichita State,MVC,31,36.9,11.3,20.3,.559,,,,,,,4.6,7.2,.634,14.8,2.2,1.5,1.0,3.2,3.3,27.2,4.33
0,Jon Koncak,4,SMU,SWC,33,32.8,6.6,11.2,.592,,,,,,,3.9,5.8,.667,10.7,1.3,0.4,2.8,2.5,3.5,17.2,3.32
0,Joe Kleine,5,Arkansas,SWC,35,36.8,8.4,13.8,.607,,,,,,,5.3,7.3,.720,8.4,0.7,1.1,0.5,2.5,2.8,22.1,6.19
0,Chris Mullin,4,St. John's (NY),Big East,35,37.9,7.2,13.8,.521,,,,,,,5.5,6.7,.824,4.8,4.3,2.1,0.5,2.6,1.9,19.8,7.06
0,Detlef Schrempf,4,Washington,Pac-10,32,36.9,6.0,10.7,.558,,,,,,,3.9,5.5,.714,8.0,4.2,0.5,0.6,3.6,2.8,15.8,5.88
0,Ed Pinckney,4,Villanova,Big East,35,33.9,5.1,8.4,.600,,,,,,,5.5,7.5,.730,8.9,2.0,1.5,1.8,2.5,3.2,15.6,7.29
0,Keith Lee,4,Memphis,Metro,35,32.6,7.6,15.3,.496,,,,,,,4.5,5.7,.780,9.2,1.5,0.7,1.3,2.6,3.5,19.7,5.72
0,Kenny Green,3,Wake Forest,ACC,28,36.7,7.3,14.4,.505,,,,,,,2.5,3.8,.645,8.3,1.3,0.8,1.6,2.3,2.5,17.0,6.98
0,Karl Malone,3,Louisiana Tech,Southland,32,28.9,6.8,12.5,.541,,,,,,,3.0,5.3,.571,9.0,2.3,1.5,0.5,2.6,3.6,16.5,-1.38
0,Alfredrick Hughes,4,Loyola (IL),MW City,33,37.9,11.1,22.9,.484,,,,,,,4.1,5.9,.697,9.5,1.1,1.2,0.1,2.5,2.8,26.3,4.07
0,Blair Rasmussen,4,Oregon,Pac-10,31,34.9,6.3,12.3,.512,,,,,,,3.5,4.9,.722,7.2,1.1,0.5,1.1,2.1,3.5,16.1,5.27
0,Bill Wennington,4,St. John's (NY),Big East,35,31.4,4.8,8.0,.602,,,,,,,2.9,3.6,.816,6.4,1.6,0.6,1.5,1.6,3.4,12.5,7.06
0,Uwe Blab,4,Indiana,Big Ten,33,30.0,6.4,11.4,.565,,,,,,,3.2,4.5,.714,6.3,1.4,0.5,2.2,2.2,3.0,16.0,9.60
0,Joe Dumars,4,McNeese State,Southland,27,,9.2,18.6,.495,,,,,,,7.4,8.7,.852,4.9,3.9,2.1,0.1,2.9,2.6,25.8,-0.49
0,Steve Harris,4,Tulsa,MVC,31,34.5,8.8,16.1,.547,,,,,,,6.0,6.9,.865,4.3,2.6,2.5,0.2,2.0,2.3,23.6,3.74
0,Sam Vincent,4,Michigan State,Big Ten,29,37.7,8.4,15.5,.544,,,,,,,6.1,7.2,.846,3.9,4.0,1.4,0.1,4.0,2.9,23.0,7.70
0,Terry Catledge,3,South Alabama,Sun Belt,28,37.1,10.2,19.1,.532,,,,,,,5.3,8.9,.592,11.5,0.9,0.0,0.5,0.1,0.1,25.6,1.02
0,Jerry Reynolds,3,LSU,SEC,29,27.7,4.4,8.8,.502,,,,,,,2.2,3.7,.598,6.1,3.6,1.7,0.4,2.8,2.4,11.0,8.00
0,A.C. Green,4,Oregon State,Pac-10,31,38.4,7.0,11.7,.599,,,,,,,5.1,7.5,.680,9.2,2.0,1.4,0.6,2.4,2.1,19.1,4.27
