,Player,Link,StartYear,EndYear,Position,Tenure,Height,Weight,Birthday,All_Star_apps,All_NBA_apps,All_Def_apps,HOF,Games,PPG,TRPG,APG,FG_pct,3_pt_pct,FT_pct,eFG_pct,PER,WS
0,Alaa Abdelnaby,/players/a/abdelal01.html,1991,1995,FC,4,208cm,108kg,1968-06-24,0,0,0,0,256,5.7,3.3,0.3,50.2,0.0,70.1,50.2,13.0,4.8
1,Mahmoud Abdul-Rauf,/players/a/abdulma02.html,1991,2001,G,10,185cm,73kg,1969-03-09,0,0,0,0,586,14.6,1.9,3.5,44.2,35.4,90.5,47.2,15.4,25.2
2,Tariq Abdul-Wahad,/players/a/abdulta01.html,1998,2003,F,5,198cm,101kg,1974-11-03,0,0,0,0,236,7.8,3.3,1.1,41.7,23.7,70.3,42.2,11.4,3.5
3,Shareef Abdur-Rahim,/players/a/abdursh01.html,1997,2008,F,11,206cm,102kg,1976-12-11,1,0,0,0,830,18.1,7.5,2.5,47.2,29.7,81.0,47.9,19.0,71.2
4,Álex Abrines,/players/a/abrinal01.html,2017,2019,GF,2,198cm,90kg,1993-08-01,0,0,0,0,174,5.3,1.4,0.5,38.7,36.8,88.0,52.5,8.8,5.0
5,Alex Acker,/players/a/ackeral01.html,2006,2009,G,3,196cm,83kg,1983-01-21,0,0,0,0,30,2.7,1.0,0.5,37.0,32.0,50.0,41.3,8.5,-0.2
6,Mark Acres,/players/a/acresma01.html,1988,1993,FC,5,211cm,99kg,1962-11-15,0,0,0,0,375,3.6,4.1,0.5,50.6,53.8,66.5,50.9,9.0,9.3
7,Quincy Acy,/players/a/acyqu01.html,2013,2019,FC,6,201cm,108kg,1990-10-06,0,0,0,0,337,4.9,3.5,0.6,44.4,35.0,75.9,51.3,11.2,8.7
8,Hassan Adams,/players/a/adamsha01.html,2007,2009,G,2,193cm,99kg,1984-06-20,0,0,0,0,73,2.5,1.2,0.2,53.4,0.0,64.3,53.4,11.8,0.8
9,Jaylen Adams,/players/a/adamsja01.html,2019,2019,G,0,188cm,86kg,1996-05-04,0,0,0,0,34,3.2,1.8,1.9,34.5,33.8,77.8,45.9,7.6,0.1
10,Jordan Adams,/players/a/adamsjo01.html,2015,2016,G,1,196cm,94kg,1994-07-08,0,0,0,0,32,3.2,0.9,0.6,40.2,38.5,60.7,45.7,13.1,0.4
11,Michael Adams,/players/a/adamsmi01.html,1986,1996,G,10,178cm,73kg,1963-01-19,1,0,0,0,653,14.7,2.9,6.4,41.5,33.2,84.9,47.5,16.6,46.9
12,Steven Adams,/players/a/adamsst01.html,2014,2020,C,6,211cm,120kg,1993-07-20,0,0,0,0,530,9.8,7.6,1.2,58.9,10.0,55.7,58.9,17.2,45.2
13,Rafael Addison,/players/a/addisra01.html,1987,1997,FG,10,201cm,97kg,1964-07-22,0,0,0,0,379,5.8,2.1,0.9,44.9,28.2,77.2,46.6,10.5,4.9
14,Bam Adebayo,/players/a/adebaba01.html,2018,2020,CF,2,206cm,115kg,1997-07-18,1,0,0,0,223,10.5,7.7,2.9,55.3,13.9,71.0,55.5,18.4,19.5
15,Deng Adel,/players/a/adelde01.html,2019,2019,F,0,201cm,90kg,1997-02-01,0,0,0,0,19,1.7,1.0,0.3,30.6,26.1,100.0,38.9,2.7,-0.2
16,Jeff Adrien,/players/a/adrieje01.html,2011,2015,F,4,201cm,111kg,1986-02-10,0,0,0,0,153,4.6,4.3,0.7,47.4,0.0,62.8,47.4,15.0,4.4
